phase,a_cmd_us,b_cmd_us,n,t_start_rel,thrust_n_mean,thrust_n_sem,torque_nm_mean,torque_nm_sem,voltage_v_mean,voltage_v_sem,current_a_mean,current_a_sem,run_dir
A1400_B1100,1400,1100,123,0.0,3.53121881300813,0.0691184855542263,-0.04257224390243903,0.0011598619634547698,11.810696,0.003622977282166809,2.6460800000000004,0.007809750729159856,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1200,1400,1200,126,0.0,4.153298952380953,0.07335221735832681,-0.030285174603174616,0.0022574554959512595,11.785216,0.0036186360645610494,3.3322399999999996,0.006419590982850602,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1300,1400,1300,125,0.0,5.018157999999999,0.07586406723063424,-0.016318000000000017,0.0015413167391300766,11.74573387096774,0.004049200898182648,4.2451612903225815,0.01006045447171199,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1400,1400,1400,126,0.0,5.710132285714287,0.07695199955704637,-0.0030232698412698857,0.0019228092113599017,11.696696000000001,0.0046912853180641105,5.327359999999999,0.009485570705703654,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1500,1400,1500,126,0.0,6.628775142857142,0.08982366903703265,0.010944984126984067,0.003071011086839321,11.64731451612903,0.005254665442100322,6.618306451612904,0.011465933632731405,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1600,1400,1600,125,0.0,7.639334000000001,0.07616986804462435,0.028129999999999912,0.0023358749414160588,11.578183999999997,0.005518653225140601,8.1664,0.011418377942541118,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1700,1400,1700,123,0.0,8.977535886178863,0.07168318360107584,0.05004564227642267,0.0014042742870398863,11.491280000000003,0.005768217704271489,10.600880000000004,0.012416958227074107,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1800,1400,1800,126,0.0,10.518203714285713,0.08643288678719081,0.07996879365079354,0.0012876984493848896,11.366911290322582,0.005513210562134886,13.8775,0.010534885163236004,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B1900,1400,1900,125,0.0,12.139262,0.07567617181888424,0.10572999999999994,0.0016865316959044458,11.207192,0.004985536448309186,17.94488,0.012321822236414814,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1400_B2000,1400,2000,126,0.0,13.704473555555554,0.08015084156688607,0.1356672063492063,0.0022321764583008875,11.052112000000001,0.004288036109621672,22.103279999999998,0.009512488226434988,raw/2026-07-31\A1400_B1000-2000_2026-07-31_023421
A1500_B1000,1500,1000,126,0.0,3.768617241707062,0.048760401493858484,-0.06072996863416024,0.0022100902393823534,11.875408000000002,0.0037643676759849098,3.6884000000000006,0.008406142147647256,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1100,1500,1100,126,0.0,4.005744225834046,0.05679872439562813,-0.05501568291987452,0.003385775232188705,11.847217741935484,0.003955621250983389,4.017903225806452,0.007564110285109723,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1200,1500,1200,123,0.0,4.641550265323011,0.07730853210539755,-0.04009814517306849,0.004612564465265927,11.820338709677419,0.003964269459740695,4.7141935483870965,0.007937019972903527,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1300,1500,1300,126,0.0,5.4666489877388065,0.08000177447011626,-0.023729968634160246,0.0022802792525012682,11.770568,0.0040430798863913,5.56304,0.008274503396072351,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1400,1500,1400,126,0.0,6.2123474004372214,0.04855202149895689,-0.007753778157969799,0.004190141220378137,11.733967999999999,0.004851310910299098,6.67536,0.00911046473797772,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1500,1500,1500,126,0.0,7.082553749643568,0.047294441049609746,0.008262094857903208,0.0048855796365409486,11.686951612903224,0.004789755640156274,7.934838709677418,0.008710065945040356,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1600,1500,1600,123,0.0,8.154851078331141,0.0787436149328317,0.01607258653424852,0.002134626539782876,11.625338709677418,0.005330819387224127,9.502419354838707,0.009981211675764455,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1700,1500,1700,126,0.0,9.480720416310234,0.1005451050732705,0.04452399961980792,0.0022618458360467056,11.538298387096775,0.004733315139037668,11.946129032258064,0.010913380963154197,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1800,1500,1800,126,0.0,11.064395019484841,0.08046345670522358,0.06980971390552222,0.002775841865086108,11.410443548387098,0.005048444858731663,15.280887096774192,0.011474673703226503,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B1900,1500,1900,126,0.0,12.710379146468968,0.07487966641504772,0.09896844406425236,0.0025047615024040553,11.256024193548388,0.004836745547246792,19.23620967741935,0.010564696306593811,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1500_B2000,1500,2000,126,0.0,14.105910892500713,0.08357513992573058,0.13164304723885553,0.0023541467784897615,11.114475806451612,0.00508961732601438,23.442822580645164,0.010941491684480205,raw/2026-07-31\A1500_B1000-2000_2026-07-31_024313
A1600_B1000,1600,1000,126,0.0,4.479885365079365,0.05744596533905979,-0.07468746031746035,0.001129160429427204,11.768508064516128,0.003665220895515277,4.909999999999999,0.008200221959089723,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1100,1600,1100,123,0.0,4.605147463414633,0.05346452339446897,-0.06697975609756097,0.0012308852592491932,11.73676,0.004176082436462323,5.32632,0.00899787501795339,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1200,1600,1200,126,0.0,5.285321873015871,0.05432630130845827,-0.055227142857142864,0.0013204479415864564,11.707616,0.004385986246540081,5.92784,0.008921582385320698,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1300,1600,1300,126,0.0,5.92962346031746,0.05425734961645628,-0.041727142857142865,0.0023851781547574113,11.666751999999999,0.004762997917414015,6.7854399999999995,0.01015397840353006,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1400,1600,1400,126,0.0,6.686885365079364,0.06792198195097927,-0.024798571428571455,0.0033019364894708142,11.613768,0.0050369106763263494,7.8532,0.010597382513103519,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1500,1600,1500,126,0.0,7.4613456825396804,0.055349658694169905,-0.01675888888888892,0.002823236288256756,11.565128,0.005546669747724539,9.087359999999999,0.010618391834985677,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1600,1600,1600,125,0.0,8.395589999999999,0.05495408357129879,0.00040599999999995143,0.0012974846136199981,11.500392000000002,0.005303643251759635,10.561039999999998,0.011449650790561535,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1700,1600,1700,123,0.0,9.67531006504065,0.05775536607341108,0.024882032520325104,0.0011857698116018204,11.414856,0.005666320465072834,12.9692,0.012430763088714299,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1800,1600,1800,125,0.0,11.188734,0.066633621442787,0.05302999999999989,0.001051634672246483,11.289088709677419,0.006195711105253418,16.213951612903223,0.013619640399836703,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B1900,1600,1900,126,0.0,12.863425047619044,0.07097305802899008,0.08797126984126974,0.001244016163750075,11.140129032258065,0.005894840406894467,20.217741935483872,0.011216253233917388,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1600_B2000,1600,2000,126,0.0,14.217774253968255,0.11092571398771135,0.11475698412698403,0.001267217129863784,10.982540322580645,0.0040276939157195,24.300403225806452,0.010780210809762315,raw/2026-07-31\A1600_B1000-2000_2026-07-31_025055
A1700_B1000,1700,1000,126,0.0,5.677869460317461,0.029816440337278618,-0.09581698412698413,0.0006579172647347687,11.742209677419355,0.004555746065424873,7.271935483870968,0.009432269509264202,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1100,1700,1100,123,0.0,5.932734926829268,0.0361445432175867,-0.08929569105691057,0.0008782178323891102,11.696782258064514,0.004049774894487704,7.580645161290322,0.009407953969654957,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1200,1700,1200,126,0.0,6.517107555555557,0.03536607702135015,-0.07705507936507937,0.0011538398653497134,11.660568000000001,0.004153138510075358,8.187520000000001,0.00913105724719831,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1300,1700,1300,126,0.0,7.056456761904764,0.03322281139938209,-0.06592809523809523,0.0021323562813605037,11.623975806451613,0.004010696812370014,8.961451612903225,0.012077473894291152,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1400,1700,1400,126,0.0,7.687123428571429,0.03035074576855539,-0.050086825396825393,0.0022436882720717464,11.572895161290324,0.004793176078503345,9.937983870967743,0.01261297222834964,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1500,1700,1500,125,0.0,8.470612000000001,0.029183862973645478,-0.035566,0.0009097084963806246,11.532072,0.005169515806864249,11.10456,0.012408375943224283,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1600,1700,1600,125,0.0,9.271804,0.028431894076445075,-0.019685999999999995,0.00080511461816756,11.466830645161291,0.005681519562491273,12.483951612903223,0.011676208238107855,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
A1700_B1700,1700,1700,123,0.0,10.523743056910567,0.02830138800928686,0.005948211382113743,0.0007508780415621968,11.386596774193547,0.003900293508339896,14.864596774193547,0.008737059438155613,raw/2026-07-31\A1700_B1000-2000_2026-07-31_025921
