run,session,phase,a_cmd_us,b_cmd_us,n,n_eff,thrust_N,thrust_sd,thrust_sem,torque_Nm,torque_sem,voltage_v,current_a,power_w,efficiency_N_per_W,voltage_noload_v
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1300,1300,1300,63,63.0,3.5932,0.5339,0.0673,0.00443,0.00064,11.646,3.206,37.34,0.09623,11.896
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1300,1400,1300,100,55.9,4.4574,0.4669,0.0624,-0.0187,0.00096,11.635,4.375,50.9,0.08757,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1300,1400,1300,99,62.4,4.6194,0.4108,0.052,-0.02057,0.00072,11.506,4.264,49.06,0.09416,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1300,1400,1300,100,55.8,4.7025,0.4577,0.0613,-0.02022,0.0008,11.458,4.19,48.01,0.09795,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1300,1400,1300,100,51.0,4.7404,0.5019,0.0703,-0.01918,0.00084,11.397,4.126,47.02,0.10082,
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1300,1400,1300,99,99.0,4.414,0.5747,0.0578,-0.01655,0.00103,11.39,4.18,47.61,0.09271,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1300,1400,1300,95,55.4,4.5854,0.5122,0.0688,-0.01943,0.0011,11.32,4.188,47.41,0.09672,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1300,1400,1300,100,62.5,4.6825,0.5876,0.0743,-0.01834,0.00101,11.291,4.113,46.44,0.10083,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1300,1400,1300,100,66.2,4.8135,0.6607,0.0812,-0.01733,0.00089,11.225,4.039,45.34,0.10616,11.604
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1300,1500,1300,100,39.3,5.2839,1.0457,0.1668,-0.026,0.00195,11.207,5.27,59.06,0.08947,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1300,1500,1300,100,40.5,5.3832,1.0289,0.1617,-0.02628,0.00177,11.144,5.222,58.19,0.09251,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1300,1500,1300,100,47.4,5.5557,0.9456,0.1373,-0.02886,0.00243,11.097,5.155,57.21,0.09711,11.438
A1300_B1000-2000_0023,2026-07-24_s1,A1300_B1400,1300,1400,63,63.0,4.2735,0.6229,0.0785,0.01723,0.00059,11.796,4.391,51.8,0.0825,12.022
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1400,1300,1400,63,63.0,4.3006,0.4843,0.061,0.01673,0.00055,11.711,4.345,50.88,0.08452,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1400,1300,1400,63,63.0,4.3382,0.4406,0.0555,0.0157,0.00045,11.655,4.298,50.09,0.08661,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1400,1300,1400,63,63.0,4.402,0.5188,0.0654,0.01586,0.00061,11.602,4.238,49.17,0.08953,11.896
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1400,1400,1400,99,67.4,5.265,0.355,0.0432,-0.00587,0.00072,11.574,5.429,62.84,0.08378,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1400,1400,1400,100,44.0,5.3792,0.5194,0.0783,-0.00798,0.00106,11.473,5.298,60.78,0.0885,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1400,1400,1400,100,45.2,5.4076,0.4771,0.071,-0.00651,0.00082,11.408,5.218,59.53,0.09084,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1400,1400,1400,100,47.8,5.4541,0.538,0.0778,-0.00787,0.00092,11.367,5.164,58.7,0.09291,
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1400,1400,1400,98,67.2,5.0524,0.5973,0.0729,-0.00465,0.00099,11.355,5.224,59.32,0.08517,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1400,1400,1400,99,99.0,5.3474,0.6822,0.0686,-0.00498,0.00107,11.286,5.185,58.52,0.09138,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1400,1400,1400,99,71.4,5.3571,0.6038,0.0714,-0.00547,0.00096,11.227,5.091,57.16,0.09372,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1400,1400,1400,100,74.4,5.6244,0.6381,0.074,-0.00535,0.00098,11.219,5.074,56.93,0.0988,11.604
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1400,1500,1400,100,42.9,5.8794,0.8746,0.1335,-0.01308,0.00149,11.183,6.264,70.05,0.08393,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1400,1500,1400,100,48.8,5.9996,0.8179,0.1171,-0.01361,0.0014,11.104,6.204,68.89,0.08709,11.438
A1500_B1000-2000_0113_3s,2026-07-24_s1,A1500_B1400,1500,1400,100,47.0,6.2333,1.0676,0.1558,-0.01437,0.00174,11.059,6.14,67.9,0.0918,11.438
A1300_B1000-2000_0023,2026-07-24_s1,A1300_B1500,1300,1500,63,63.0,5.1212,0.5652,0.0712,0.0303,0.00098,11.752,5.708,67.08,0.07634,12.022
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1500,1300,1500,63,63.0,5.199,0.4591,0.0578,0.03329,0.00072,11.671,5.641,65.84,0.07896,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1500,1300,1500,63,63.0,5.2294,0.4447,0.056,0.03097,0.0007,11.6,5.562,64.52,0.08105,11.896
A1300_B1000-2000_0024,2026-07-24_s1,A1300_B1500,1300,1500,63,63.0,5.2387,0.4857,0.0612,0.02903,0.00061,11.582,5.521,63.94,0.08193,11.896
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1500,1400,1500,100,60.1,6.0581,0.5779,0.0745,0.00707,0.00179,11.516,6.689,77.03,0.07865,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1500,1400,1500,100,43.1,6.1223,0.5658,0.0862,0.00433,0.00186,11.424,6.549,74.82,0.08183,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1500,1400,1500,100,46.7,6.1612,0.6254,0.0915,0.00781,0.00143,11.362,6.461,73.41,0.08393,
A1400_B1000-2000_0051_1300,2026-07-24_s1,A1400_B1500,1400,1500,100,39.8,6.2227,0.6939,0.11,0.00593,0.00104,11.339,6.433,72.94,0.08531,
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1500,1400,1500,99,68.4,5.937,0.7607,0.092,0.01081,0.00289,11.304,6.433,72.72,0.08164,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1500,1400,1500,98,65.0,6.0442,0.6525,0.0809,0.00776,0.00223,11.248,6.418,72.19,0.08373,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1500,1400,1500,100,75.4,6.1802,0.7904,0.091,0.00737,0.00161,11.204,6.373,71.4,0.08656,11.604
A1400_B1000-2000_0104,2026-07-24_s1,A1400_B1500,1400,1500,100,94.5,6.317,0.8411,0.0865,0.00665,0.00206,11.16,6.297,70.27,0.0899,11.604
