pass_,seq,pulse_us,theta_deg,theta_sd,theta_cross_deg,n,creep_dps,settled
dn2,67,1370,-5.176702660323104,0.20041596467586112,-0.13438193359840825,50,-0.09221930699454205,True
dn2,66,1380,-4.817026588368932,0.27026545818250747,-0.039327011695157524,50,-0.35262730753532273,True
dn2,65,1390,-4.590871223137027,0.23973300901656264,-0.14655739115057742,50,0.2272242736086293,True
dn2,64,1400,-4.322091545548075,0.25503218826644625,-0.18148962892492848,50,0.4051508351617855,True
dn2,63,1410,-4.060130360842105,0.22746085075525738,-0.16969671678926404,50,0.09781073543264864,True
dn2,62,1420,-3.620539684339136,0.26927016307599444,-0.11091514366293581,50,-0.5186114714152459,False
dn2,61,1430,-3.2143856505704287,0.2749477607581601,-0.1497143727272592,50,-1.109067312484456,False
dn2,60,1440,-2.5843571562077265,0.20784799089392453,-0.1302463303940314,50,0.30507787085814325,True
dn2,59,1450,-2.2322933229185837,0.24114818753554532,-0.15705174976419442,50,0.04987052835800841,True
dn2,58,1460,-1.98398140447833,0.23206443432764393,-0.18972298291758335,50,-0.14976765622927912,True
dn2,57,1470,-1.7315027490464059,0.22364189658259617,-0.20923423966741012,50,-0.20078894881202658,True
dn2,56,1480,-1.2882613684643474,0.2112864982449409,-0.22366806236528844,50,-0.09504173590590527,True
dn2,55,1490,-0.821981727748577,0.24485369471390664,-0.21924296947478042,50,-0.25217624634782615,True
dn2,54,1500,-0.3736485345574988,0.2561076345013359,-0.24011895501367717,50,-0.3404463067561087,True
dn2,53,1510,-0.10502962601334219,0.21529688560353535,-0.2109400143267729,50,0.147861358813426,True
dn2,52,1520,0.3539310519983735,0.2257872347125726,-0.21037771727992863,50,-0.7123186327010201,False
dn2,51,1530,0.722442957756237,0.284008884532331,-0.26871704825360865,50,-0.6663652894699775,False
dn2,50,1540,1.1770362353402413,0.1800829011843468,-0.2443439646641619,50,-0.17504847244367663,True
dn2,49,1550,1.4523966149534095,0.226118840141705,-0.23395914769070006,50,0.6341970166793021,False
dn2,48,1560,1.9100401319099705,0.22961577794511587,-0.2729188863231068,50,0.35544063908692813,True
dn2,47,1570,2.2653677047880962,0.21125074261080798,-0.254821970151344,50,0.7598353921947504,False
dn2,46,1580,2.6166392420202667,0.25916895334651835,-0.3097928193074373,50,-0.6341398223258135,False
dn2,45,1590,3.0356838570422484,0.2640797693914505,-0.2611599234062081,50,0.8942889938775016,False
dn2,44,1600,3.3338476674645654,0.26372601182785715,-0.29114295605226037,50,0.31426230040132774,True
dn2,43,1610,3.605480162709643,0.2283325284180857,-0.28000112595438476,50,0.2233084314153555,True
dn2,42,1620,3.946160487071354,0.326228886122213,-0.28782582187210126,50,-0.07990095334934906,True
dn2,41,1630,4.291480957435043,0.556939750080102,-0.36232287150942655,50,-1.5166685540214315,False
dn2,40,1640,4.820801170204888,0.23801832293384234,-0.2874726016501725,50,0.6158376583067317,False
dn2,39,1650,5.2080964723545335,0.2582291599683583,-0.2864859432202971,50,0.13654956510344252,True
dn2,38,1660,5.519967400827347,0.23107944329186694,-0.35035408307054217,50,0.6652596722698495,False
dn2,37,1670,5.863080491030005,0.24406971504211092,-0.3200766197459276,50,0.24509370314540657,True
dn2,36,1680,6.074155677695989,0.20027293765475498,-0.3433754873781456,50,0.38699546606663415,True
dn2,35,1690,6.375074962599174,0.23810289254096922,-0.4024631024877229,50,0.4666129987143401,True
dn2,34,1700,6.829836907979763,0.2654879638456551,-0.3082917676332064,50,-0.3723648534109392,True
dn2,33,1710,7.301385679244781,0.23292617218747041,-0.3221533862550703,50,-0.27323265867459295,True
dn2,32,1720,7.481490303919607,0.3248083253298902,-0.3733217377046978,50,-0.25950694549745384,True
dn2,31,1730,7.733793804968722,0.23580197691882265,-0.3609828415964248,50,-0.4125139770081746,True
dn2,30,1740,8.185450906171333,0.18558083462433247,-0.3609410983571436,50,0.08825497176191305,True
dn2,29,1750,8.402022004793704,0.4754795982836459,-0.38293660772554095,50,0.29854029214261557,True
dn2,28,1760,8.754560080837177,0.24925765695923516,-0.36711201445987884,50,0.9239750981879314,False
dn2,27,1770,9.011049011292702,0.20688537629365672,-0.44187404574611466,50,-0.2640653290991437,True
dn2,26,1780,9.364843324357913,0.4495562359201029,-0.3523212053532544,50,-0.12259887665222115,True
dn2,25,1790,9.687349094287917,0.23352934734737954,-0.36255808809329804,50,0.5981621313924012,False
dn2,24,1800,9.948529469861342,0.3913413091194189,-0.3744674995333773,50,1.0490396363535721,False
dn2,23,1810,10.315636175543306,0.3308484362854432,-0.38100597820881976,50,0.2885138335721931,True
dn2,22,1820,10.562530906554995,0.5933223677972813,-0.4213054554154573,50,0.6359959858183613,False
dn2,21,1830,10.995700196719888,0.36284717777143866,-0.3652104117327698,50,0.25584356934897495,True
dn2,20,1840,11.337742823568291,0.3245895046735145,-0.49617435469991933,50,-0.3125157721949731,True
dn2,19,1850,11.452456753299922,0.5869959564807403,-0.3652844274764132,50,-0.18561833979420717,True
dn2,18,1860,12.037425863410157,0.6755354625733976,-0.40257957323281546,50,1.205087688187646,False
dn2,17,1870,12.064073992588865,0.40415929989669125,-0.4697150029620045,50,-0.6513268052182586,False
dn2,16,1880,12.491208833703334,0.355053107231589,-0.5496436779146708,50,-0.13729400353865034,True
dn2,15,1890,12.763321155557817,0.6901677237606116,-0.5287735431893523,50,-0.15786528337719755,True
dn2,14,1900,12.955963022460269,0.29606477746973797,-0.5635183435078867,50,1.0492965130886414,False
dn2,13,1910,13.351680678352679,0.45809600263774986,-0.6293989282822312,50,0.823248993211311,False
dn2,12,1920,13.646003829078118,0.25442592081528775,-0.7064232858000392,50,0.4954206224455171,True
dn2,11,1930,13.913106965204271,0.24858379095289895,-0.9034557877616644,50,0.3690508590018594,True
dn2,10,1940,14.123532845698543,0.22437444476018475,-0.8809885356475943,50,0.6588884707604443,False
dn2,9,1950,14.163642755573262,0.2291513018834727,-0.8400055697524264,50,0.9708493827401942,False
dn2,8,1960,14.480338065203075,0.23832863343352262,-0.9238998178923262,50,-0.7429366396013592,False
dn2,7,1970,14.52325301496953,0.21427527440560384,-0.9483337406668441,50,0.3802515135439828,True
dn2,6,1980,14.72672990128284,0.26039502338307213,-0.7677414843679989,50,-0.44072549764617164,True
dn2,5,1990,14.803471362699467,0.22640230992823726,-0.912124813858849,50,0.49234826451598984,True
dn2,4,2000,14.82451885489986,0.22221995749495674,-0.8584388598986962,50,-0.1995281074714029,True
dn2,3,2010,14.861591234113316,0.22484306242925903,-0.7733432142494249,50,0.2607012696747645,True
dn2,2,2020,14.913423578722442,0.18245322866766084,-0.8364951792237301,50,-0.11867616157189184,True
dn2,1,2030,14.920956213224036,0.2475432632912674,-0.8134983068495476,50,0.034709076396340716,True
dn2,0,2040,14.931547197342402,0.22732340137443055,-0.7538703965728414,50,0.15276547594464823,True
up,0,1310,-7.917780852028139,0.2334675359798646,0.08636807180398393,50,-0.36880869474727046,True
up,1,1320,-7.697926109762303,0.2432844513158482,0.10034819435090384,50,-0.6510556749688048,False
up,2,1330,-7.421511480585243,0.25442393636621197,0.09848260396867572,50,-0.3438653889167547,True
up,3,1340,-7.385667998563261,0.2516941640009407,0.12005755018055055,50,-0.19289375168474973,True
up,4,1350,-6.952189864923462,0.22081037972625497,0.0462560045602558,50,0.5096011984198866,False
up,5,1360,-6.5354499445484,0.2199172013438382,0.06531744223442529,50,-0.11772313011790735,True
up,6,1370,-6.069317446161502,0.2745997962238263,0.08691971427957838,50,0.37088564854452855,True
up,7,1380,-5.782793784460453,0.25322451666433327,0.03306652806441803,50,-0.7393794614700264,False
up,8,1390,-5.562299930556121,0.2502058920267658,0.07641331525744448,50,0.5133974934367588,False
up,9,1400,-5.2198894106108025,0.2851525784416625,-0.06019341144146807,50,-0.5964560434938726,False
up,10,1410,-4.9843163963044965,0.23954801949280224,-0.06637087717805827,50,-0.3566276748693535,True
up,11,1420,-4.600735231258621,0.22787216417684047,-0.024336512873123585,50,0.4878143486492382,True
up,12,1430,-4.2509608089455115,0.2612484410286866,-0.023737464762420758,50,-0.5768101861800089,False
up,13,1440,-3.5454237063464933,0.22265859671719135,-0.0544750993395607,50,-0.0644203809235766,True
