a_us,b_us,n,thrust_N,thrust_s,thrust_sem,thrust_sem_corr,thrust_tau,thrust_neff,thrust_drift,torque_Nm,torque_s,torque_sem_corr,torque_tau,flags,run
1200,1800,151,8.653304543046357,0.40923518737664344,0.03330308724101653,0.03330308724101653,1.0,151.0,0.025316647500242758,0.10547172185430463,0.005710182222613613,0.00046468803902432055,1.0,,A1200_B1000-2000_2026-07-31_021641
1200,1900,148,10.360241405405406,0.47035568698965247,0.03866299930720724,0.03866299930720724,1.0,148.0,0.05831025307354872,0.13397324324324325,0.005917369361305525,0.0004864047652551886,1.0,,A1200_B1000-2000_2026-07-31_021641
1200,2000,151,11.97926480794702,0.36202462321583806,0.029461146016402654,0.029461146016402654,1.0,151.0,0.012382802581923447,0.16147834437086092,0.005142267389710954,0.000486253478649456,1.3501843781470517,,A1200_B1000-2000_2026-07-31_021641
1300,1000,151,1.8178854740849433,0.5769415105349645,0.04695083426593533,0.04695083426593533,1.0,151.0,0.010425039523594571,-0.03214293267769103,0.006259050841724614,0.0005199202038070414,1.0419176070123326,,A1300_B1000-2000_2026-07-31_022512
1300,1100,151,2.1148192489193804,0.6864893950004789,0.05586571467201854,0.05586571467201854,1.0,151.0,0.018183638000023924,-0.02449392605517447,0.0057187272237450406,0.0004653834213544148,1.0,,A1300_B1000-2000_2026-07-31_022512
1300,1200,148,2.7518646221071377,0.7078146404090708,0.05818200504157844,0.05818200504157844,1.0,148.0,0.06678226762147776,-0.012330689971408581,0.005656301693765256,0.0004726836401409816,1.0335648396609785,,A1300_B1000-2000_2026-07-31_022512
1300,1300,151,3.519057659515407,0.7577540043614601,0.061665146333698705,0.061665146333698705,1.0,151.0,0.009208909863742126,0.0013007759315805001,0.005860316651707324,0.0005487438691577665,1.3239578030995398,,A1300_B1000-2000_2026-07-31_022512
1300,1400,150,4.346020838323354,0.7886615156762278,0.06439394310589182,0.06439394310589182,1.0,150.0,0.06056460645473351,0.012933093812375203,0.006045376512774705,0.0005227485385358692,1.121579867191632,,A1300_B1000-2000_2026-07-31_022512
1300,1500,151,5.215163619780307,0.8444452960977077,0.06871998360279089,0.06871998360279089,1.0,151.0,0.005128259884055361,0.028539186527606984,0.009329480440947033,0.0007592223509173963,1.0,,A1300_B1000-2000_2026-07-31_022512
1300,1600,151,6.219150374747194,0.7730389339908978,0.06290901626625528,0.06290901626625528,1.0,151.0,0.030805634204743623,0.04524779579913017,0.008105403860630842,0.0008014185921120019,1.4762042668062811,,A1300_B1000-2000_2026-07-31_022512
1300,1700,149,7.627708355101878,0.5913825108761196,0.04844794301464158,0.04844794301464158,1.0,149.0,0.08260733425610299,0.0683054428056638,0.005244528473028604,0.00042964851331760145,1.0,,A1300_B1000-2000_2026-07-31_022512
1300,1800,151,9.175435142959117,0.6149213434508081,0.05004158923523239,0.05004158923523239,1.0,151.0,0.00601300759080339,0.09465839182562025,0.006930433253214599,0.0005639906595749901,1.0,,A1300_B1000-2000_2026-07-31_022512
1300,1900,151,10.847123884680972,0.5995354727909417,0.04878950483811788,0.05092397840588865,1.0894111843455694,138.60698528692694,0.03999172111237164,0.12363852427595136,0.00696984358840276,0.000567197827168233,1.0,,A1300_B1000-2000_2026-07-31_022512
1300,2000,152,12.342580838323356,0.5742702135281746,0.046579465075803475,0.04855452690198899,1.0866019004236287,139.88563791462212,0.06861384714057182,0.1498544096018489,0.006261688269076229,0.0005078899848436853,1.0,,A1300_B1000-2000_2026-07-31_022512
1400,1000,151,3.253984225165563,0.7501974555086517,0.06105020310924311,0.06105020310924311,1.0,151.0,0.0373363396095214,-0.04888398675496692,0.020200592302203006,0.001643900887587433,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1100,148,3.5340396216216217,0.7510009185516218,0.06173189523763987,0.06173189523763987,1.0,148.0,0.01977903898507437,-0.041925243243243274,0.01234819198069624,0.001015015128339298,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1200,151,4.155911377483444,0.8669233299178479,0.07054922005266068,0.07054922005266068,1.0,151.0,0.03153787594727292,-0.029678688741721884,0.024692744999880813,0.002543193058429486,1.601757858202891,,A1400_B1000-2000_2026-07-31_023421
1400,1300,151,5.006374953642384,0.8186577203780941,0.06662142045276,0.06662142045276,1.0,151.0,0.006720217958435597,-0.016261470198675524,0.016679937321548086,0.0013573940485302157,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1400,151,5.705672966887418,0.8995108075458751,0.07320115137207588,0.07320115137207588,1.0,151.0,0.014100455390151305,-0.0028839867549669165,0.02239993889931749,0.0018228811753443722,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1500,151,6.598076940397352,0.9820180181151821,0.07991549294474626,0.07991549294474626,1.0,151.0,0.08811147456199696,0.011996807947019841,0.034214828382387125,0.003844957528308818,1.9069148868007255,,A1400_B1000-2000_2026-07-31_023421
1400,1600,151,7.631759059602649,0.8803135206104339,0.07163889831729783,0.07163889831729783,1.0,151.0,0.014362398215644069,0.027976940397350963,0.025487014396938634,0.002074103816476304,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1700,148,8.975140972972975,0.8004862027725379,0.06579956054385806,0.06579956054385806,1.0,148.0,0.13346816943745615,0.05040583783783781,0.015222579476077547,0.0012512883250212325,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1800,151,10.507818662251657,0.961702620390641,0.07826224932438852,0.07826224932438852,1.0,151.0,0.0994731598810974,0.07951336423841056,0.01451481697093626,0.0011811990532123687,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,1900,151,12.164553761589406,0.841164791492081,0.06845301992409043,0.06845301992409043,1.0,151.0,0.23466025507708277,0.10610276821192048,0.01881006024567482,0.0015307409936720368,1.0,,A1400_B1000-2000_2026-07-31_023421
1400,2000,151,13.712434556291392,0.9095979100995094,0.07402202813613475,0.07402202813613475,1.0,151.0,0.07039584871174402,0.13597694039735098,0.02462007113860066,0.0020035529746718133,1.0,,A1400_B1000-2000_2026-07-31_023421
1500,1000,151,3.774813604578921,0.5697238241901857,0.04636346728129422,0.04636346728129422,1.0,151.0,0.020834545626780505,-0.06116894687446304,0.02527678130793522,0.0020569952903280253,1.0,,A1500_B1000-2000_2026-07-31_024313
1500,1100,151,4.036548703916669,0.6480217527621894,0.052735262343052744,0.05687776260577256,1.1632760502276545,129.80581863646992,0.20079700014309995,-0.054102721708900126,0.038169450239259786,0.0038880522454496223,1.5667847000422714,,A1500_B1000-2000_2026-07-31_024313
1500,1200,149,4.612900186204771,0.8366518579424256,0.06854119083879968,0.07423282158422206,1.1729747016809127,127.02746255863654,0.15188272066488656,-0.03897924955458215,0.05144982710243003,0.004214934066749634,1.0,,A1500_B1000-2000_2026-07-31_024313
1500,1300,151,5.46760168404912,0.8902020422998311,0.0724436147998118,0.09158772336354844,1.598358894320729,94.4718989812185,0.1466071255970862,-0.02456629786784051,0.024198264947926873,0.0019692268736909583,1.0,,A1500_B1000-2000_2026-07-31_024313
1500,1400,151,6.220038770141835,0.5494158904347887,0.04471083107013109,0.04471083107013109,1.0,151.0,0.013435202555800841,-0.007553052834727929,0.050258693250428005,0.004089994452011828,1.0,,A1500_B1000-2000_2026-07-31_024313
1500,1500,151,7.073912942327264,0.5357017912824475,0.04359479350886923,0.044124529057626254,1.0244503532011582,147.39611297722894,0.01843706111458784,0.009029728622225713,0.05528444288155631,0.00612863235302482,1.8556591671440819,,A1500_B1000-2000_2026-07-31_024313
1500,1600,148,8.160228138317958,0.8733827865365501,0.07179162281826994,0.09044262222447778,1.58707974840137,93.25303290466475,0.015878306054290914,0.017367521713330062,0.02531687305747586,0.002081034146193658,1.0,,A1500_B1000-2000_2026-07-31_024313
1500,1700,151,9.486972544976272,1.1364791769525735,0.09248536378377506,0.12251808107605042,1.7549080004697193,86.0443966063083,0.05431889495742955,0.045579397496397896,0.02535505923277585,0.0021784522199584638,1.1146634643265698,,A1500_B1000-2000_2026-07-31_024313
1500,1800,151,11.078773869479585,0.9204625668399788,0.07490618136252516,0.07490618136252516,1.0,151.0,0.014116515243008979,0.06987078822487472,0.031030471387418306,0.002592749830972403,1.0541961612303088,,A1500_B1000-2000_2026-07-31_024313
1500,1900,151,12.721045392658391,0.8520546490365583,0.06933922396282619,0.07383291582288332,1.1338147080924426,133.1787274607207,0.20912848391166863,0.09915555643679524,0.02831459814285151,0.0025038808871690023,1.1808193817431865,,A1500_B1000-2000_2026-07-31_024313
