seg_id,kind,a_us,b_us,sweep,planned_dwell_s,min_dwell_s,max_dwell_s,t_mono_start,t_mono_end,actual_dwell_s,n_loadcell,dwell_reason,thrust_mean_n,thrust_sem_n
91,step,1600,1400,2,4.0,4.0,4.0,343167.483068,343171.484463,4.001395,200,planned,5.945814,0.10847
92,reference,1500,1500,2,4.0,4.0,4.0,343171.490413,343175.492452,4.002039,200,planned,5.826776,0.125413
93,step,1300,1100,2,4.0,4.0,4.0,343175.492981,343179.493684,4.000703,200,planned,1.162566,0.024952
94,step,1400,1900,2,4.0,4.0,4.0,343179.499771,343183.500185,4.000414,201,planned,11.148747,0.181263
95,step,1500,1800,2,4.0,4.0,4.0,343183.50635,343187.507019,4.000669,200,planned,10.481589,0.085717
96,step,1500,1000,2,4.0,4.0,4.0,343187.512691,343191.513562,4.000871,200,planned,4.685968,0.103313
97,step,1600,1200,2,4.0,4.0,4.0,343191.520314,343195.521761,4.001447,201,planned,4.788132,0.133496
98,step,1600,1000,2,4.0,4.0,4.0,343195.525233,343199.527156,4.001923,200,planned,6.790965,0.11684
99,step,1400,1200,2,4.0,4.0,4.0,343199.532501,343203.534648,4.002148,200,planned,2.370696,0.043544
100,step,1600,1700,2,4.0,4.0,4.0,343203.538278,343207.539623,4.001345,201,planned,9.87405,0.088509
101,reference,1500,1500,2,4.0,4.0,4.0,343207.545626,343211.547576,4.00195,200,planned,5.739403,0.114833
102,step,1600,1800,2,4.0,4.0,4.0,343211.548078,343215.550537,4.002459,200,planned,11.753455,0.156952
103,step,1600,1900,2,4.0,4.0,4.0,343215.555814,343219.558012,4.002198,200,planned,13.525861,0.114932
104,step,1500,1400,2,4.0,4.0,4.0,343219.563471,343223.566024,4.002553,201,planned,4.68701,0.075191
105,step,1500,2000,2,4.0,4.0,4.0,343223.572655,343227.573158,4.000503,200,planned,14.325673,0.066074
106,step,1400,1100,2,4.0,4.0,4.0,343227.581178,343231.583595,4.002416,201,planned,1.930018,0.031756
107,step,1500,1700,2,4.0,4.0,4.0,343231.589592,343235.590399,4.000807,200,planned,8.348876,0.135933
108,step,1300,1200,2,4.0,4.0,4.0,343235.596275,343239.596417,4.000142,200,planned,1.498476,0.030826
109,step,1600,1300,2,4.0,4.0,4.0,343239.604094,343243.60524,4.001146,201,planned,5.136888,0.082247
110,reference,1500,1500,2,4.0,4.0,4.0,343243.611689,343247.612866,4.001177,200,planned,5.79305,0.107343
111,step,1500,1100,2,4.0,4.0,4.0,343247.613277,343251.614055,4.000778,200,planned,3.022604,0.04661
112,step,1500,1200,2,4.0,4.0,4.0,343251.620274,343255.62212,4.001846,201,planned,3.465749,0.129621
113,step,1300,1500,2,4.0,4.0,4.0,343255.628229,343259.629541,4.001313,200,planned,4.085517,0.087192
114,step,1400,2000,2,4.0,4.0,4.0,343259.635295,343263.637341,4.002045,200,planned,13.674947,0.126532
