t_mono,dev_t,seg_id,voltage_v,current_a,remaining_pct
342975.330176,,35,12.163,5.433,89
342975.43542,,35,12.156,5.587,89
342975.540299,,35,12.151,5.689,89
342975.645772,,35,12.148,5.756,89
342975.751356,,35,12.146,5.801,89
342975.856508,,35,12.144,5.83,89
342975.961354,,35,12.143,5.849,89
342976.067142,,35,12.143,5.862,89
342976.119447,,35,12.142,5.867,89
342976.224874,,35,12.142,5.873,89
342976.330612,,35,12.142,5.878,89
342976.435386,,35,12.141,5.881,89
342976.540519,,35,12.141,5.883,89
342976.645563,,35,12.141,5.884,89
342976.751389,,35,12.141,5.885,89
342976.856599,,35,12.141,5.886,89
342976.961491,,35,12.14,5.886,89
342977.067419,,35,12.14,5.886,89
342977.119564,,35,12.14,5.887,89
342977.224697,,35,12.14,5.887,89
342977.329999,,35,12.14,5.887,89
342977.43529,,35,12.14,5.887,89
342977.540294,,35,12.14,5.887,89
342977.645811,,35,12.139,5.887,89
342977.75092,,35,12.139,5.887,89
342977.856237,,35,12.139,5.887,89
342977.961435,,35,12.139,5.887,89
342978.066939,,35,12.139,5.887,89
342978.119664,,35,12.139,5.888,89
342978.224743,,35,12.139,5.888,89
342978.330206,,35,12.139,5.888,89
342978.43515,,35,12.138,5.888,89
342978.54039,,35,12.138,5.888,89
342978.645934,,35,12.138,5.888,89
342978.75082,,35,12.138,5.888,89
342978.856874,,36,12.161,5.371,89
342978.961743,,36,12.177,5.011,89
342979.06678,,36,12.187,4.78,89
342979.119621,,36,12.191,4.696,89
342979.224644,,36,12.196,4.576,89
342979.330124,,36,12.2,4.497,89
342979.435494,,36,12.202,4.445,89
342979.54085,,36,12.204,4.412,89
342979.645685,,36,12.204,4.39,88
342979.75091,,36,12.205,4.375,88
342979.856456,,36,12.205,4.366,88
342979.961895,,36,12.205,4.36,88
342980.066732,,36,12.206,4.356,88
342980.119474,,36,12.206,4.354,88
342980.224693,,36,12.206,4.352,88
342980.330021,,36,12.205,4.351,88
342980.435046,,36,12.205,4.35,88
342980.540457,,36,12.205,4.349,88
342980.645897,,36,12.205,4.349,88
342980.7512,,36,12.205,4.348,88
342980.856393,,36,12.205,4.348,88
342980.961573,,36,12.205,4.348,88
342981.067457,,36,12.205,4.348,88
342981.171946,,36,12.205,4.348,88
342981.224858,,36,12.205,4.348,88
342981.330279,,36,12.205,4.348,88
342981.435658,,36,12.205,4.348,88
342981.540786,,36,12.204,4.348,88
342981.64559,,36,12.204,4.348,88
342981.751068,,36,12.204,4.348,88
342981.856243,,36,12.204,4.348,88
342981.961499,,36,12.204,4.348,88
342982.067315,,36,12.204,4.348,88
342982.119581,,36,12.204,4.348,88
342982.224643,,36,12.204,4.349,88
342982.329777,,36,12.204,4.349,88
342982.435473,,36,12.204,4.349,88
342982.540753,,36,12.203,4.349,88
342982.645765,,36,12.203,4.349,88
342982.750867,,36,12.203,4.349,88
342982.856336,,37,12.104,6.55,88
342982.961544,,37,12.023,8.338,88
342983.066859,,37,11.966,9.602,88
342983.119734,,37,11.945,10.079,88
342983.224914,,37,11.912,10.791,88
342983.330225,,37,11.891,11.27,88
342983.435035,,37,11.876,11.587,88
342983.540778,,37,11.866,11.8,88
342983.645544,,37,11.86,11.939,88
342983.751095,,37,11.855,12.031,88
342983.856794,,37,11.852,12.092,88
342983.961884,,37,11.85,12.132,88
342984.066823,,37,11.849,12.159,88
342984.119636,,37,11.848,12.168,88
342984.224546,,37,11.847,12.183,88
342984.330016,,37,11.846,12.192,88
342984.435403,,37,11.846,12.198,88
342984.540756,,37,11.845,12.203,88
342984.645567,,37,11.845,12.206,88
342984.751331,,37,11.844,12.208,88
342984.856535,,37,11.844,12.209,88
342984.962053,,37,11.844,12.21,88
342985.066931,,37,11.843,12.211,88
342985.172236,,37,11.843,12.211,88
342985.224731,,37,11.843,12.212,88
342985.330005,,37,11.843,12.212,88
342985.435683,,37,11.842,12.213,88
342985.540869,,37,11.842,12.213,88
342985.645859,,37,11.842,12.213,88
342985.751135,,37,11.841,12.214,88
342985.856275,,37,11.841,12.214,88
342985.961877,,37,11.841,12.214,88
342986.067349,,37,11.841,12.215,88
342986.172274,,37,11.84,12.215,88
342986.224604,,37,11.84,12.215,88
342986.330133,,37,11.84,12.216,88
342986.435532,,37,11.839,12.216,88
342986.540529,,37,11.839,12.216,88
342986.645846,,37,11.839,12.216,88
342986.751011,,37,11.839,12.217,88
342986.856285,,38,11.939,9.988,88
342986.961752,,38,12.006,8.487,88
342987.066705,,38,12.047,7.559,88
342987.119549,,38,12.062,7.23,88
342987.224502,,38,12.083,6.761,88
342987.330222,,38,12.097,6.458,88
342987.435446,,38,12.105,6.263,88
342987.54057,,38,12.111,6.136,88
342987.645673,,38,12.114,6.053,88
342987.751158,,38,12.117,5.999,88
342987.856235,,38,12.118,5.964,88
342987.961717,,38,12.119,5.94,88
342988.066913,,38,12.12,5.925,88
342988.119762,,38,12.12,5.92,88
342988.224962,,38,12.12,5.912,88
342988.32992,,38,12.12,5.907,88
342988.435456,,38,12.12,5.903,88
342988.540328,,38,12.12,5.901,88
342988.646043,,38,12.12,5.9,88
342988.750962,,38,12.12,5.899,88
342988.856374,,38,12.12,5.898,88
342988.961483,,38,12.12,5.898,88
342989.066783,,38,12.119,5.897,88
342989.172224,,38,12.119,5.897,88
342989.22454,,38,12.119,5.897,88
342989.330165,,38,12.119,5.897,88
342989.435722,,38,12.119,5.897,88
342989.540697,,38,12.119,5.897,88
342989.645644,,38,12.119,5.897,88
342989.750858,,38,12.119,5.897,87
342989.856862,,38,12.118,5.897,87
342989.961811,,38,12.118,5.898,87
342990.067054,,38,12.118,5.898,87
342990.119617,,38,12.118,5.898,87
342990.224711,,38,12.118,5.898,87
342990.330065,,38,12.118,5.898,87
342990.435131,,38,12.118,5.898,87
342990.54053,,38,12.117,5.898,87
342990.645877,,38,12.117,5.898,87
342990.750965,,38,12.117,5.898,87
342990.856307,,39,12.113,5.995,87
342990.961436,,39,12.108,6.087,87
342991.066624,,39,12.105,6.148,87
342991.119549,,39,12.104,6.17,87
342991.225161,,39,12.103,6.202,87
342991.329999,,39,12.102,6.224,87
342991.435279,,39,12.101,6.238,87
342991.540569,,39,12.1,6.247,87
342991.645918,,39,12.1,6.253,87
342991.751175,,39,12.1,6.257,87
342991.856175,,39,12.099,6.26,87
342991.961615,,39,12.099,6.262,87
342992.066964,,39,12.099,6.263,87
342992.119491,,39,12.099,6.263,87
342992.224835,,39,12.099,6.264,87
342992.329996,,39,12.098,6.264,87
342992.435351,,39,12.098,6.265,87
342992.540656,,39,12.098,6.265,87
342992.645851,,39,12.098,6.265,87
342992.75117,,39,12.098,6.265,87
342992.856544,,39,12.098,6.265,87
342992.961657,,39,12.097,6.266,87
