run,phase,a_us,b_us,n,thrust_N,thrust_std,torque_Nm,voltage_V,current_A
A1800_B1000-2000_2026-07-31_030736,A1800_B1700,1800,1700,150,11.492434411177642,0.23326628408085234,-0.021246227544910186,11.318560000000002,17.322000000000003
A1800_B1000-2000_2026-07-31_030736,A1800_B1800,1800,1800,151,12.959405890206341,0.5720696266489856,0.012140262521314981,11.193543624161073,20.713087248322147
A1800_B1000-2000_2026-07-31_030736,A1800_B1900,1800,1900,151,14.444962181597068,0.9258596251249991,0.041226355236546774,11.059778523489932,24.496442953020132
A1800_B1000-2000_2026-07-31_030736,A1800_B2000,1800,2000,151,15.352445625305679,1.784692265275237,0.07174291152793749,10.89308108108108,28.779527027027026
A1850_B1850_2026-07-31_033406,A1850_B1850,1850,1850,2959,13.811960545957762,0.5800811983907472,0.01113425126765729,10.908168249660786,23.25634667571235
A1850_B1850_2026-07-31_033649,A1850_B1850,1850,1850,2960,13.464011108108108,0.5631605289225139,0.009281216216216177,10.797845997286295,22.830895522388058
A1850_B1850_2026-07-31_034148,A1850_B1850,1850,1850,2961,13.383629549476526,0.5378485218449447,0.00806589935832488,10.703706241519676,22.5058921302578
A1850_B1850_2026-07-31_034551,A1850_B1850,1850,1850,2960,13.249525310810812,0.5083207522082145,0.0077969999999999715,10.637918249660787,22.284216417910446
A1850_B1850_2026-07-31_034904,A1850_B1850,1850,1850,2961,13.066780746511032,0.48400651939366046,0.007628404791228066,10.579972881355932,22.11817966101695
A1850_B1850_2026-07-31_035309,A1850_B1850,1850,1850,2960,12.951768418918915,0.4830393365990401,0.007876864864864842,10.47849118046133,21.771523066485752
A1850_B1850_2026-07-31_035630,A1850_B1850,1850,1850,2960,11.965056935453418,0.8387749067762269,0.006848772724820587,9.995565468113975,20.133978968792402
