# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
S,106001,pre,0,0,1527,1520,-360,-952,-17024,35,26,-25,0
S,107001,pre,0,0,1527,1520,-352,-1040,-17120,36,22,-32,0
S,108001,pre,0,0,1527,1520,-288,-920,-17032,37,28,-36,0
S,109001,pre,0,0,1527,1520,-408,-904,-17080,33,26,-38,0
S,110001,pre,0,0,1527,1520,-264,-920,-17040,35,23,-27,0
S,111001,pre,0,0,1527,1520,-496,-1000,-17168,38,17,-32,0
S,112001,pre,0,0,1527,1520,-432,-1096,-17200,30,19,-38,0
S,113001,pre,0,0,1527,1520,-408,-1040,-17120,36,20,-28,0
S,114001,pre,0,0,1527,1520,-376,-920,-17160,41,15,-29,0
S,115001,pre,0,0,1527,1520,-312,-904,-17112,37,26,-25,0
S,116001,pre,0,0,1527,1520,-400,-952,-17040,34,24,-29,0
S,117001,pre,0,0,1527,1520,-312,-976,-17008,41,24,-24,0
S,118001,pre,0,0,1527,1520,-344,-840,-17224,38,23,-23,0
S,119001,pre,0,0,1527,1520,-328,-856,-17104,38,26,-29,0
S,120001,pre,0,0,1527,1520,-376,-768,-17168,38,26,-32,0
S,121001,pre,0,0,1527,1520,-496,-1072,-17024,38,23,-32,0
S,122001,pre,0,0,1527,1520,-360,-936,-16928,41,22,-29,0
S,123001,pre,0,0,1527,1520,-248,-960,-17096,41,23,-33,0
S,124001,pre,0,0,1527,1520,-392,-880,-17080,34,25,-36,0
S,125001,pre,0,0,1527,1520,-408,-888,-16976,38,18,-30,0
S,126001,pre,0,0,1527,1520,-328,-928,-17096,35,21,-32,0
S,127001,pre,0,0,1527,1520,-384,-1048,-17120,42,21,-25,0
S,128001,pre,0,0,1527,1520,-448,-920,-17072,46,25,-35,0
S,129001,pre,0,0,1527,1520,-400,-920,-17064,39,30,-31,0
S,130001,pre,0,0,1527,1520,-408,-1056,-17056,38,25,-26,0
S,131001,pre,0,0,1527,1520,-408,-840,-17048,39,21,-28,0
S,132001,pre,0,0,1527,1520,-296,-824,-17008,43,23,-29,0
S,133001,pre,0,0,1527,1520,-288,-872,-17088,40,20,-34,0
S,134001,pre,0,0,1527,1520,-384,-928,-17192,38,28,-34,0
S,135001,pre,0,0,1527,1520,-368,-936,-17016,38,22,-32,0
S,136001,pre,0,0,1527,1520,-376,-848,-17016,36,18,-30,0
S,137001,pre,0,0,1527,1520,-368,-992,-17200,37,26,-34,0
S,138001,pre,0,0,1527,1520,-416,-1008,-17112,40,25,-26,0
S,139001,pre,0,0,1527,1520,-448,-984,-17024,40,18,-26,0
S,140001,pre,0,0,1527,1520,-360,-872,-17112,40,22,-28,0
S,141001,pre,0,0,1527,1520,-296,-984,-17208,45,23,-32,0
S,142001,pre,0,0,1527,1520,-368,-872,-17136,42,17,-34,0
S,143001,pre,0,0,1527,1520,-424,-880,-17080,35,17,-35,0
S,144001,pre,0,0,1527,1520,-400,-928,-17096,33,27,-31,0
S,145001,pre,0,0,1527,1520,-456,-952,-17080,43,25,-29,0
S,146001,pre,0,0,1527,1520,-280,-944,-17176,37,22,-33,0
S,147001,pre,0,0,1527,1520,-352,-928,-17176,41,24,-28,0
S,148001,pre,0,0,1527,1520,-504,-776,-17096,36,27,-21,0
S,149001,pre,0,0,1527,1520,-296,-1024,-17120,40,26,-25,0
S,150001,pre,0,0,1527,1520,-424,-936,-16984,37,19,-30,0
S,151001,pre,0,0,1527,1520,-352,-856,-17136,35,18,-30,0
S,152001,pre,0,0,1527,1520,-456,-984,-17112,35,23,-29,0
S,153001,pre,0,0,1527,1520,-352,-976,-16992,39,24,-26,0
S,154001,pre,0,0,1527,1520,-280,-880,-17088,39,25,-28,0
S,155001,pre,0,0,1527,1520,-376,-1056,-17024,37,24,-28,0
S,156001,pre,0,0,1527,1520,-424,-1016,-17240,39,19,-27,0
S,157001,pre,0,0,1527,1520,-352,-824,-16976,36,17,-34,0
S,158001,pre,0,0,1527,1520,-376,-952,-17008,40,23,-31,0
S,159001,pre,0,0,1527,1520,-352,-952,-17016,37,25,-25,0
S,160001,pre,0,0,1527,1520,-344,-1040,-17024,39,20,-28,0
S,161001,pre,0,0,1527,1520,-240,-968,-17224,35,20,-33,0
S,162001,pre,0,0,1527,1520,-424,-928,-17080,35,23,-33,0
S,163001,pre,0,0,1527,1520,-288,-920,-17128,38,19,-29,0
S,164001,pre,0,0,1527,1520,-432,-984,-16952,40,24,-33,0
S,165001,pre,0,0,1527,1520,-464,-984,-17184,38,28,-33,0
S,166001,pre,0,0,1527,1520,-448,-912,-17072,39,24,-31,0
S,167001,pre,0,0,1527,1520,-328,-1112,-17040,35,25,-21,0
