# selected servo A
#META fw=tvc_char 2.1 test=P axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 repeatability
#META imu_alive=1 imu_pass=0 imu_rate_hz=1908 g_mag=1.0451
#META gyro_bias_dps=2.3410,1.4072,-1.7803 gyro_noise_dps=0.1853,0.1807,0.1871 acc_noise_g=0.00391,0.00414,0.00399
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META reps=20 approach_us=75 dwell_ms=400 log_hz=100 center_us=1520
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
#META repeat_target=1520 idx=0
S,4186872,fromabove,3,0,1520,1520,1472,232,-17008,19,-491,-17,0
S,4196873,fromabove,3,0,1520,1520,1488,-1296,-16016,12,-283,-10,0
S,4206872,fromabove,3,0,1520,1520,712,-1408,-16960,55,21,-12,0
S,4216873,fromabove,3,0,1520,1520,0,-1328,-17208,105,283,-41,0
S,4226872,fromabove,3,0,1520,1520,-160,-896,-16872,76,398,-56,0
S,4236872,fromabove,3,0,1520,1520,-1080,-608,-16824,3,361,-94,0
S,4246872,fromabove,3,0,1520,1520,512,-1152,-18088,-27,265,-42,0
S,4256872,fromabove,3,0,1520,1520,64,-752,-17224,-9,157,-34,0
S,4266872,fromabove,3,0,1520,1520,-280,-1096,-17072,44,31,-27,0
S,4276872,fromabove,3,0,1520,1520,-360,-872,-16816,75,-79,-30,0
S,4286873,fromabove,3,0,1520,1520,8,-704,-17080,82,-119,-19,0
S,4296872,fromabove,3,0,1520,1520,-120,-872,-17096,66,-115,-3,0
S,4306872,fromabove,3,0,1520,1520,-400,-768,-17000,40,-76,-12,0
S,4316873,fromabove,3,0,1520,1520,-504,-1152,-16904,17,2,-26,0
S,4326872,fromabove,3,0,1520,1520,-504,-928,-17208,23,70,-27,0
S,4336873,fromabove,3,0,1520,1520,-368,-944,-17048,40,101,-31,0
S,4346872,fromabove,3,0,1520,1520,-576,-1040,-16976,34,75,-35,0
S,4356872,fromabove,3,0,1520,1520,-512,-992,-17032,29,40,-29,0
S,4366872,fromabove,3,0,1520,1520,-232,-856,-17192,38,-6,-33,0
S,4376872,fromabove,3,0,1520,1520,-272,-1096,-17184,42,-24,-24,0
S,4386873,fromabove,3,0,1520,1520,-456,-1040,-17088,48,4,-31,0
S,4396872,fromabove,3,0,1520,1520,-464,-960,-17120,49,31,-29,0
S,4406872,fromabove,3,0,1520,1520,-352,-808,-17160,30,47,-34,0
S,4416872,fromabove,3,0,1520,1520,-456,-1080,-17056,21,47,-28,0
E,5116256,frombelow,4,0,1520,1520,,,,,,,0
S,5116883,frombelow,4,0,1520,1520,880,-984,-17064,36,17,-31,0
S,5126871,frombelow,4,0,1520,1520,2760,-1048,-16688,45,5,-15,0
S,5136870,frombelow,4,0,1520,1520,-3344,-2648,-21976,90,-298,-258,0
S,5146870,frombelow,4,0,1520,1520,432,8280,-17512,54,-440,168,0
S,5156871,frombelow,4,0,1520,1520,-8256,5544,-15832,62,-1020,33,0
S,5166871,frombelow,4,0,1520,1520,-272,1536,-14680,38,-1549,42,0
S,5176870,frombelow,4,0,1520,1520,872,-2488,-11568,118,-1752,-101,0
S,5186870,frombelow,4,0,1520,1520,1984,-9096,-21272,100,-1759,4,0
S,5196870,frombelow,4,0,1520,1520,4440,-9496,-18848,22,-1596,189,0
S,5206870,frombelow,4,0,1520,1520,-3688,-1440,-17296,-55,-1204,-211,0
S,5216870,frombelow,4,0,1520,1520,-968,-3328,-17928,108,-640,-53,0
S,5226870,frombelow,4,0,1520,1520,-48,-2624,-16840,158,195,-35,0
S,5236870,frombelow,4,0,1520,1520,2216,-2352,-18848,156,759,-27,0
S,5246870,frombelow,4,0,1520,1520,816,-1120,-17408,-17,1039,-46,0
S,5256870,frombelow,4,0,1520,1520,-4488,-3432,-17056,-147,923,-277,0
S,5266870,frombelow,4,0,1520,1520,-5032,-1384,-16088,-191,1006,-45,0
S,5276870,frombelow,4,0,1520,1520,-1648,456,-16968,-95,787,-87,0
S,5286870,frombelow,4,0,1520,1520,-1992,-2024,-17416,36,527,-102,0
S,5296870,frombelow,4,0,1520,1520,1744,-1304,-16760,52,166,-34,0
S,5306870,frombelow,4,0,1520,1520,1032,-1936,-15888,102,-207,-82,0
S,5316870,frombelow,4,0,1520,1520,-336,-744,-15768,90,-468,-16,0
S,5326870,frombelow,4,0,1520,1520,-1784,-456,-17992,119,-577,74,0
S,5336870,frombelow,4,0,1520,1520,160,-232,-18512,74,-582,145,0
S,5346870,frombelow,4,0,1520,1520,-4056,-1784,-17952,38,-581,-11,0
S,5356870,frombelow,4,0,1520,1520,-80,-1848,-18200,36,-483,-13,0
S,5366871,frombelow,4,0,1520,1520,-152,-2488,-16888,8,-268,83,0
S,5376870,frombelow,4,0,1520,1520,-1376,-1168,-16608,40,-19,-13,0
S,5386870,frombelow,4,0,1520,1520,-64,-624,-17216,86,215,-33,0
S,5396870,frombelow,4,0,1520,1520,560,-816,-17456,70,356,-53,0
S,5406870,frombelow,4,0,1520,1520,-1280,-1032,-16856,15,352,-92,0
S,5416870,frombelow,4,0,1520,1520,368,-984,-17464,-19,292,-24,0
S,5426870,frombelow,4,0,1520,1520,-680,-840,-17192,-1,192,-41,0
S,5436870,frombelow,4,0,1520,1520,-696,-968,-16976,54,75,-32,0
S,5446870,frombelow,4,0,1520,1520,-448,-1072,-17120,74,-16,-28,0
S,5456870,frombelow,4,0,1520,1520,-248,-800,-17056,73,-96,-36,0
S,5466870,frombelow,4,0,1520,1520,-240,-728,-16936,47,-128,-15,0
S,5476870,frombelow,4,0,1520,1520,-528,-912,-16832,16,-109,-20,0
S,5486870,frombelow,4,0,1520,1520,-456,-1024,-17168,22,-46,-16,0
S,5496870,frombelow,4,0,1520,1520,72,-960,-17224,46,12,-20,0
S,5506870,frombelow,4,0,1520,1520,-248,-1064,-17024,63,66,-37,0
S,5516870,frombelow,4,0,1520,1520,-848,-1016,-16872,42,91,-35,0
E,6216256,fromabove,5,0,1520,1520,,,,,,,0
S,6216884,fromabove,5,0,1520,1520,-1520,-856,-17000,36,21,-26,0
S,6226874,fromabove,5,0,1520,1520,-2952,-1552,-17032,36,48,-20,0
S,6236873,fromabove,5,0,1520,1520,-624,-1648,-18104,57,268,109,0
S,6246872,fromabove,5,0,1520,1520,-3336,-96,-13960,165,570,56,0
S,6256872,fromabove,5,0,1520,1520,-1856,-6136,-15960,236,1017,-45,0
S,6266872,fromabove,5,0,1520,1520,456,-1864,-17136,249,1365,-70,0
S,6276872,fromabove,5,0,1520,1520,272,-944,-17048,158,1533,-35,0
S,6286872,fromabove,5,0,1520,1520,-3064,824,-17768,63,1394,-290,0
S,6296872,fromabove,5,0,1520,1520,-576,-3320,-13984,-106,1350,-24,0
S,6306872,fromabove,5,0,1520,1520,3328,-1856,-18200,-129,1026,-214,0
S,6316872,fromabove,5,0,1520,1520,2728,3224,-19056,-90,704,-33,0
S,6326872,fromabove,5,0,1520,1520,-256,-2608,-14336,-107,286,68,0
S,6336872,fromabove,5,0,1520,1520,-1528,-2512,-16768,-15,-121,-32,0
S,6346872,fromabove,5,0,1520,1520,-1216,-1928,-15336,90,-454,-103,0
S,6356873,fromabove,5,0,1520,1520,1440,-112,-19352,115,-567,124,0
S,6366872,fromabove,5,0,1520,1520,3632,-504,-17216,110,-599,78,0
S,6376872,fromabove,5,0,1520,1520,-3360,-648,-17696,67,-634,-11,0
S,6386873,fromabove,5,0,1520,1520,2512,0,-18176,21,-503,-16,0
S,6396872,fromabove,5,0,1520,1520,-656,-2168,-16096,14,-281,-13,0
S,6406872,fromabove,5,0,1520,1520,-864,-1280,-17032,57,56,-11,0
S,6416872,fromabove,5,0,1520,1520,128,-1016,-17400,100,291,-35,0
S,6426872,fromabove,5,0,1520,1520,-1080,-920,-16520,51,419,-59,0
S,6436872,fromabove,5,0,1520,1520,-920,-832,-16832,-12,392,-93,0
S,6446872,fromabove,5,0,1520,1520,1320,-824,-17752,-37,287,-24,0
S,6456872,fromabove,5,0,1520,1520,-120,-1192,-17048,-4,178,-42,0
S,6466872,fromabove,5,0,1520,1520,-704,-1120,-17000,61,52,-29,0
S,6476872,fromabove,5,0,1520,1520,-320,-1048,-16976,88,-46,-29,0
S,6486872,fromabove,5,0,1520,1520,-232,-824,-16952,81,-110,-24,0
S,6496872,fromabove,5,0,1520,1520,32,-736,-17072,41,-140,-15,0
S,6506872,fromabove,5,0,1520,1520,-592,-800,-16992,13,-104,-11,0
S,6516872,fromabove,5,0,1520,1520,-376,-1024,-17280,24,-31,-12,0
S,6526872,fromabove,5,0,1520,1520,-120,-1064,-17128,41,47,-26,0
S,6536872,fromabove,5,0,1520,1520,-800,-1008,-17120,53,99,-32,0
S,6546872,fromabove,5,0,1520,1520,-632,-992,-16928,38,91,-38,0
S,6556873,fromabove,5,0,1520,1520,-264,-816,-17264,11,51,-27,0
S,6566872,fromabove,5,0,1520,1520,-72,-832,-17136,16,8,-29,0
S,6576872,fromabove,5,0,1520,1520,-448,-1056,-17008,46,-10,-25,0
S,6586872,fromabove,5,0,1520,1520,-544,-1040,-17096,58,-3,-29,0
S,6596872,fromabove,5,0,1520,1520,-488,-928,-17032,57,18,-24,0
S,6606872,fromabove,5,0,1520,1520,-432,-952,-16984,34,28,-29,0
S,6616872,fromabove,5,0,1520,1520,-424,-928,-17048,16,40,-29,0
E,7316256,frombelow,6,0,1520,1520,,,,,,,0
S,7316883,frombelow,6,0,1520,1520,880,-888,-17168,42,16,-25,0
S,7326871,frombelow,6,0,1520,1520,3608,-2544,-16536,47,0,-15,0
S,7336870,frombelow,6,0,1520,1520,-1032,-7416,-19968,38,-258,-405,0
S,7346870,frombelow,6,0,1520,1520,1360,8536,-18480,34,-440,193,0
S,7356870,frombelow,6,0,1520,1520,-3880,-2584,-16416,69,-940,126,0
S,7366870,frombelow,6,0,1520,1520,48,456,-13896,42,-1547,26,0
S,7376870,frombelow,6,0,1520,1520,936,-2504,-12464,114,-1775,-119,0
S,7386870,frombelow,6,0,1520,1520,3560,-2064,-19568,78,-1768,86,0
S,7396870,frombelow,6,0,1520,1520,-1256,-3688,-19808,23,-1584,265,0
S,7406870,frombelow,6,0,1520,1520,-4720,-2584,-17048,-28,-1228,-193,0
S,7416870,frombelow,6,0,1520,1520,-1224,-4296,-17672,118,-585,-18,0
S,7426870,frombelow,6,0,1520,1520,-1000,-2512,-16496,172,190,-29,0
S,7436870,frombelow,6,0,1520,1520,2224,-592,-18208,144,805,-30,0
S,7446870,frombelow,6,0,1520,1520,880,-1312,-17552,-74,1046,-28,0
S,7456870,frombelow,6,0,1520,1520,-1440,-2416,-18200,-140,918,-318,0
S,7466870,frombelow,6,0,1520,1520,-3912,-1720,-15840,-196,1015,-62,0
S,7476870,frombelow,6,0,1520,1520,-4216,-320,-17440,-95,780,-95,0
S,7486870,frombelow,6,0,1520,1520,-1656,-168,-17760,17,534,-95,0
S,7496870,frombelow,6,0,1520,1520,768,168,-15664,42,151,12,0
S,7506870,frombelow,6,0,1520,1520,-208,-1144,-16056,101,-202,-112,0
S,7516870,frombelow,6,0,1520,1520,-792,-1240,-15392,93,-478,-21,0
S,7526870,frombelow,6,0,1520,1520,-840,600,-18808,122,-605,54,0
S,7536870,frombelow,6,0,1520,1520,288,-440,-18056,81,-607,119,0
S,7546870,frombelow,6,0,1520,1520,-2040,-2144,-17608,54,-605,-24,0
S,7556870,frombelow,6,0,1520,1520,2664,-1840,-17968,39,-507,6,0
S,7566871,frombelow,6,0,1520,1520,-1736,-784,-16904,8,-277,25,0
S,7576870,frombelow,6,0,1520,1520,-880,-952,-16936,46,-25,-12,0
S,7586870,frombelow,6,0,1520,1520,-368,-2064,-16936,92,238,-38,0
S,7596870,frombelow,6,0,1520,1520,440,-184,-17096,69,366,-51,0
S,7606870,frombelow,6,0,1520,1520,-1144,-624,-16704,9,345,-99,0
S,7616870,frombelow,6,0,1520,1520,440,-1056,-17552,-18,289,-22,0
S,7626870,frombelow,6,0,1520,1520,-344,-760,-16984,1,190,-41,0
S,7636870,frombelow,6,0,1520,1520,-480,-960,-16912,51,87,-31,0
S,7646870,frombelow,6,0,1520,1520,-384,-912,-16808,84,-21,-24,0
S,7656870,frombelow,6,0,1520,1520,-264,-864,-17072,69,-99,-25,0
S,7666870,frombelow,6,0,1520,1520,-304,-1016,-16912,41,-123,-16,0
S,7676870,frombelow,6,0,1520,1520,208,-1024,-16992,23,-109,-17,0
S,7686870,frombelow,6,0,1520,1520,-392,-1248,-16968,12,-56,-14,0
S,7696870,frombelow,6,0,1520,1520,56,-936,-17352,45,13,-23,0
S,7706870,frombelow,6,0,1520,1520,-368,-1048,-16896,58,70,-30,0
S,7716870,frombelow,6,0,1520,1520,-824,-1120,-16768,38,87,-32,0
E,8416256,fromabove,7,0,1520,1520,,,,,,,0
